GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
springbootJukebox,Jukebox,Song,0,58,0,0,0,21,0,11,0,11
springbootJukebox,Jukebox,MainJukebox,0,126,0,8,0,35,0,11,0,7
springbootJukebox,Jukebox,MainJukebox.Playlist,33,45,4,0,7,9,4,3,2,3
springbootJukebox,Jukebox,Album,0,116,1,11,0,32,1,16,0,11
springbootJukebox,com.tsi.springboot,SpringbootdemoApplication,13,27,2,2,4,9,3,5,1,5
